,SYMBOL,NAME OF COMPANY, SERIES, DATE OF LISTING, PAID UP VALUE, MARKET LOT, ISIN NUMBER, FACE VALUE
43,ADANIGREEN,Adani Green Energy Limited,EQ,18-JUN-2018,10,1,INE364U01010,10
44,ADANIPORTS,Adani Ports and Special Economic Zone Limited,EQ,27-NOV-2007,2,1,INE742F01042,2
45,ADANIPOWER,Adani Power Limited,EQ,20-AUG-2009,10,1,INE814H01011,10
46,ADFFOODS,ADF Foods Limited,EQ,15-SEP-2010,2,1,INE982B01027,2
47,ADL,Archidply Decor Limited,EQ,01-OCT-2020,10,1,INE0CHO01012,10
48,ADORWELD,Ador Welding Limited,EQ,10-MAY-1995,10,1,INE045A01017,10
49,ADROITINFO,Adroit Infotech Limited,BE,13-AUG-1997,10,1,INE737B01033,10
50,ADSL,Allied Digital Services Limited,EQ,25-JUL-2007,5,1,INE102I01027,5
51,ADVANIHOTR,Advani Hotels & Resorts (India) Limited,EQ,25-JUN-2007,2,1,INE199C01026,2
52,ADVENZYMES,Advanced Enzyme Technologies Limited,EQ,01-AUG-2016,2,1,INE837H01020,2
53,AEGISLOG,Aegis Logistics Limited,EQ,03-APR-1996,1,1,INE208C01025,1
54,AEROFLEX,Aeroflex Industries Limited,EQ,31-AUG-2023,2,1,INE024001021,2
55,AETHER,Aether Industries Limited,EQ,03-JUN-2022,10,1,INE0BWX01014,10
56,AFCONS,Afcons Infrastructure Limited,EQ,04-NOV-2024,10,1,INE101I01011,10
57,AFFLE,Affle (India) Limited,EQ,08-AUG-2019,2,1,INE00WC01027,2
58,AFFORDABLE,Affordable Robotic & Automation Limited,EQ,23-OCT-2024,10,1,INE692Z01013,10
59,AFIL,Akme Fintrade (India) Limited,EQ,26-JUN-2024,10,1,INE916Y01019,10
60,AGARIND,Agarwal Industrial Corporation Limited,EQ,26-MAY-2014,10,1,INE204E01012,10
61,AGARWALEYE,Dr. Agarwal's Health Care Limited,EQ,04-FEB-2025,1,1,INE943P01029,1
62,AGI,AGI Greenpac Limited,EQ,31-MAY-2000,2,1,INE415A01038,2
63,AGIIL,Agi Infra Limited,EQ,15-JUL-2024,5,1,INE976R01025,5
64,AGRITECH,Agri-Tech (India) Limited,EQ,28-JAN-2014,10,1,INE449G01018,10
65,AGROPHOS,Agro Phos India Limited,EQ,08-MAR-2019,10,1,INE740V01019,10
66,AGSTRA,AGS Transact Technologies Limited,BE,31-JAN-2022,10,1,INE583L01014,10
67,AHL,Abans Holdings Limited,BE,23-DEC-2022,2,1,INE00ZE01026,2
68,AHLADA,Ahlada Engineers Limited,EQ,28-JAN-2021,10,1,INE00PV01013,10
69,AHLEAST,Asian Hotels (East) Limited,EQ,11-AUG-2010,10,1,INE926K01017,10
70,AHLUCONT,Ahluwalia Contracts (India) Limited,EQ,14-DEC-2009,2,1,INE758C01029,2
71,AIAENG,AIA Engineering Limited,EQ,14-DEC-2005,2,1,INE212H01026,2
72,AIIL,Authum Investment & Infrastructure Limited,EQ,23-APR-2024,1,1,INE206F01022,1
73,AIRAN,Airan Limited,EQ,03-MAY-2019,2,1,INE645W01026,2
74,AIROLAM,Airo Lam limited,EQ,13-OCT-2021,10,1,INE801L01010,10
75,AJANTPHARM,Ajanta Pharma Limited,EQ,29-MAY-2000,2,1,INE031B01049,2
76,AJMERA,Ajmera Realty & Infra India Limited,EQ,16-JUN-2009,10,1,INE298G01027,10
77,AJOONI,Ajooni Biotech Limited,EQ,07-MAY-2021,2,1,INE820Y01021,2
78,AKASH,Akash Infra-Projects Limited,EQ,11-OCT-2019,10,1,INE737W01013,10
79,AKG,Akg Exim Limited,EQ,16-FEB-2021,10,1,INE00Y801016,10
80,AKI,AKI India Limited,BE,06-APR-2023,2,1,INE642Z01026,2
81,AKSHAR,Akshar Spintex Limited,BE,23-MAY-2022,1,1,INE256Z01025,1
82,AKSHARCHEM,AksharChem India Limited,EQ,28-MAR-2017,10,1,INE542B01011,10
83,AKSHOPTFBR,Aksh Optifibre Limited,BE,18-AUG-2000,5,1,INE523B01011,5
84,AKUMS,Akums Drugs and Pharmaceuticals Limited,EQ,06-AUG-2024,2,1,INE09XN01023,2
85,AKZOINDIA,Akzo Nobel India Limited,EQ,28-JUN-2001,10,1,INE133A01011,10
86,ALANKIT,Alankit Limited,EQ,30-JUN-2015,1,1,INE914E01040,1
87,ALBERTDAVD,Albert David Limited,EQ,14-JUN-2016,10,1,INE155C01010,10
88,ALEMBICLTD,Alembic Limited,EQ,22-SEP-1999,2,1,INE426A01027,2
89,ALICON,Alicon Castalloy Limited,EQ,29-SEP-2006,5,1,INE062D01024,5
90,ALIVUS,Alivus Life Sciences Limited,EQ,06-AUG-2021,2,1,INE03Q201024,2
91,ALKALI,Alkali Metals Limited,EQ,06-NOV-2008,10,1,INE773I01017,10
92,ALKEM,Alkem Laboratories Limited,EQ,23-DEC-2015,2,1,INE540L01014,2
93,ALKYLAMINE,Alkyl Amines Chemicals Limited,EQ,26-NOV-2007,2,1,INE150B01039,2
94,ALLCARGO,Allcargo Logistics Limited,EQ,23-JUN-2006,2,1,INE418H01029,2
95,ALLDIGI,Alldigi Tech Limited,EQ,09-MAY-2005,10,1,INE835G01018,10
96,ALMONDZ,Almondz Global Securities Limited,EQ,16-JUN-2008,1,1,INE326B01035,1
97,ALOKINDS,Alok Industries Limited,EQ,19-FEB-2020,1,1,INE270A01029,1
98,ALPA,Alpa Laboratories Limited,EQ,06-AUG-2007,10,1,INE385I01010,10
99,ALPHAGEO,Alphageo (India) Limited,EQ,11-MAY-2007,10,1,INE137C01018,10
100,ALPSINDUS,Alps Industries Limited,BE,24-APR-1996,10,1,INE093B01015,10
101,AMBER,Amber Enterprises India Limited,EQ,30-JAN-2018,10,1,INE371P01015,10
102,AMBICAAGAR,Ambica Agarbathies & Aroma industries Limited,EQ,29-JUN-2004,10,1,INE792B01012,10
103,AMBIKCO,Ambika Cotton Mills Limited,EQ,29-JAN-2008,10,1,INE540G01014,10
104,AMBUJACEM,Ambuja Cements Limited,EQ,18-FEB-1998,2,1,INE079A01024,2
105,AMDIND,AMD Industries Limited,EQ,19-MAR-2007,10,1,INE005I01014,10
106,AMIORG,Ami Organics Limited,EQ,14-SEP-2021,10,1,INE00FF01017,10
107,AMJLAND,Amj Land Holdings Limited,EQ,08-FEB-1995,2,1,INE606A01024,2
108,AMNPLST,Amines & Plasticizers Limited,EQ,10-NOV-2023,2,1,INE275D01022,2
109,AMRUTANJAN,Amrutanjan Health Care Limited,EQ,02-JAN-2015,1,1,INE098F01031,1
110,ANANDRATHI,Anand Rathi Wealth Limited,EQ,14-DEC-2021,5,1,INE463V01026,5
111,ANANTRAJ,Anant Raj Limited,EQ,27-SEP-2006,2,1,INE242C01024,2
112,ANDHRAPAP,ANDHRA PAPER LIMITED,EQ,13-MAY-2004,2,1,INE435A01051,2
113,ANDHRSUGAR,The Andhra Sugars Limited,EQ,01-NOV-1995,2,1,INE715B01021,2
114,ANGELONE,Angel One Limited,EQ,05-OCT-2020,10,1,INE732I01013,10
115,ANIKINDS,Anik Industries Limited,EQ,21-MAY-2008,10,1,INE087B01017,10
116,ANKITMETAL,Ankit Metal & Power Limited,BZ,14-MAR-2013,10,1,INE106I01010,10
117,ANMOL,Anmol India Limited,EQ,04-JUN-2021,10,1,INE02AR01019,10
118,ANSALAPI,Ansal Properties & Infrastructure Limited,BZ,27-JAN-2006,5,1,INE436A01026,5
119,ANTGRAPHIC,Antarctica Limited,EQ,31-DEC-1997,1,1,INE414B01021,1
120,ANUHPHR,Anuh Pharma Limited,EQ,20-DEC-2024,5,1,INE489G01022,5
121,ANUP,The Anup Engineering Limited,EQ,01-MAR-2019,10,1,INE294Z01018,10
122,ANURAS,Anupam Rasayan India Limited,EQ,24-MAR-2021,10,1,INE930P01018,10
123,APARINDS,Apar Industries Limited,EQ,12-JUL-2004,10,1,INE372A01015,10
124,APCL,Anjani Portland Cement Limited,EQ,10-APR-2017,10,1,INE071F01012,10
125,APCOTEXIND,Apcotex Industries Limited,EQ,06-SEP-1995,2,1,INE116A01032,2
126,APEX,Apex Frozen Foods Limited,EQ,04-SEP-2017,10,1,INE346W01013,10
127,APLAPOLLO,APL Apollo Tubes Limited,EQ,14-DEC-2011,2,1,INE702C01027,2
128,APLLTD,Alembic Pharmaceuticals Limited,EQ,20-SEP-2011,2,1,INE901L01018,2
129,APOLLO,Apollo Micro Systems Limited,EQ,22-JAN-2018,1,1,INE713T01028,1
130,APOLLOHOSP,Apollo Hospitals Enterprise Limited,EQ,10-JAN-1996,5,1,INE437A01024,5
131,APOLLOPIPE,Apollo Pipes Limited,EQ,11-NOV-2019,10,1,INE126J01016,10
132,APOLLOTYRE,Apollo Tyres Limited,EQ,31-MAY-1995,1,1,INE438A01022,1
133,APOLSINHOT,Apollo Sindoori Hotels Limited,EQ,28-JAN-2015,5,1,INE451F01024,5
134,APTECHT,Aptech Limited,EQ,27-SEP-2002,10,1,INE266F01018,10
135,APTUS,Aptus Value Housing Finance India Limited,EQ,24-AUG-2021,2,1,INE852O01025,2
136,ARCHIDPLY,Archidply Industries Limited,EQ,04-JUL-2008,10,1,INE877I01016,10
137,ARCHIES,Archies Limited,EQ,02-SEP-1998,2,1,INE731A01020,2
138,ARE&M,Amara Raja Energy & Mobility Limited,EQ,05-SEP-2003,1,1,INE885A01032,1
139,ARENTERP,Rajdarshan Industries Limited,BE,18-OCT-1995,10,1,INE610C01014,10
140,ARIES,Aries Agro Limited,BE,11-JAN-2008,10,1,INE298I01015,10
141,ARIHANTCAP,Arihant Capital Markets Limited,EQ,15-JUN-2021,1,1,INE420B01036,1
142,ARIHANTSUP,Arihant Superstructures Limited,EQ,28-MAR-2017,10,1,INE643K01018,10
143,ARKADE,Arkade Developers Limited,EQ,24-SEP-2024,10,1,INE0QRL01017,10
144,ARMANFIN,Arman Financial Services Limited,EQ,14-JUN-2016,10,1,INE109C01017,10
145,AROGRANITE,Aro Granite Industries Limited,EQ,24-APR-2007,10,1,INE210C01013,10
146,ARROWGREEN,Arrow Greentech Limited,EQ,21-MAY-2015,10,1,INE570D01018,10
147,ARSHIYA,Arshiya Limited,BZ,14-DEC-2009,2,1,INE968D01022,2
148,ARSSINFRA,ARSS Infrastructure Projects Limited,BE,03-MAR-2010,10,1,INE267I01010,10
149,ARTEMISMED,Artemis Medicare Services Limited,EQ,23-JAN-2020,1,1,INE025R01021,1
150,ARTNIRMAN,Art Nirman Limited,BE,18-OCT-2021,10,1,INE738V01013,10
151,ARVEE,Arvee Laboratories (India) Limited,EQ,22-MAR-2021,10,1,INE006Z01016,10
152,ARVIND,Arvind Limited,EQ,08-FEB-1995,10,1,INE034A01011,10
153,ARVINDFASN,Arvind Fashions Limited,EQ,08-MAR-2019,4,1,INE955V01021,4
154,ARVSMART,Arvind SmartSpaces Limited,EQ,26-AUG-2015,10,1,INE034S01021,10
155,ASAHIINDIA,Asahi India Glass Limited,EQ,18-MAR-1998,1,1,INE439A01020,1
156,ASAHISONG,Asahi Songwon Colors Limited,EQ,29-AUG-2011,10,1,INE228I01012,10
157,ASAL,Automotive Stampings and Assemblies Limited,EQ,12-MAR-2002,10,1,INE900C01027,10
158,ASALCBR,Associated Alcohols & Breweries Ltd.,EQ,12-FEB-2020,10,1,INE073G01016,10
159,ASHAPURMIN,Ashapura Minechem Limited,EQ,20-SEP-1995,2,1,INE348A01023,2
160,ASHIANA,Ashiana Housing Limited,EQ,29-JUN-2011,2,1,INE365D01021,2
161,ASHIMASYN,Ashima Limited,EQ,27-JUL-1995,10,1,INE440A01010,10
162,ASHOKA,Ashoka Buildcon Limited,EQ,14-OCT-2010,5,1,INE442H01029,5
163,ASHOKAMET,Ashoka Metcast Limited,EQ,27-JUN-2023,10,1,INE760Y01011,10
164,ASHOKLEY,Ashok Leyland Limited,EQ,25-MAY-1995,1,1,INE208A01029,1
165,ASIANENE,Asian Energy Services Limited,EQ,09-DEC-2021,10,1,INE276G01015,10
166,ASIANHOTNR,Asian Hotels (North) Limited,BE,07-APR-2010,10,1,INE363A01022,10
167,ASIANPAINT,Asian Paints Limited,EQ,31-MAY-1995,1,1,INE021A01026,1
168,ASIANTILES,Asian Granito India Limited,EQ,23-AUG-2007,10,1,INE022I01019,10
169,ASKAUTOLTD,ASK Automotive Limited,EQ,15-NOV-2023,2,1,INE491J01022,2
170,ASMS,Bartronics India Limited,EQ,09-FEB-2023,1,1,INE855F01042,1
171,ASPINWALL,Aspinwall and Company Limited,EQ,14-JUN-2016,10,1,INE991I01015,10
172,ASTEC,Astec LifeSciences Limited,EQ,25-NOV-2009,10,1,INE563J01010,10
173,ASTERDM,Aster DM Healthcare Limited,EQ,26-FEB-2018,10,1,INE914M01019,10
174,ASTRAL,Astral Limited,EQ,20-MAR-2007,1,1,INE006I01046,1
175,ASTRAMICRO,Astra Microwave Products Limited,EQ,01-NOV-2004,2,1,INE386C01029,2
176,ASTRAZEN,AstraZeneca Pharma India Limited,EQ,04-MAY-2001,2,1,INE203A01020,2
177,ASTRON,Astron Paper & Board Mill Limited,EQ,29-DEC-2017,10,1,INE646X01014,10
178,ATALREAL,Atal Realtech Limited,BE,12-MAY-2023,2,1,INE0ALR01029,2
179,ATAM,Atam Valves Limited,EQ,10-MAY-2023,10,1,INE09KD01013,10
180,ATFL,Agro Tech Foods Limited,EQ,06-DEC-2002,10,1,INE209A01019,10
181,ATGL,Adani Total Gas Limited,EQ,05-NOV-2018,1,1,INE399L01023,1
182,ATL,Allcargo Terminals Limited,EQ,10-AUG-2023,2,1,INE0NN701020,2
183,ATLANTAA,ATLANTAA LIMITED,BE,25-SEP-2006,2,1,INE285H01022,2
184,ATLASCYCLE,Atlas Cycles (Haryana) Limited,BE,23-OCT-1996,5,1,INE446A01025,5
185,ATUL,Atul Limited,EQ,06-MAY-1998,10,1,INE100A01010,10
186,ATULAUTO,Atul Auto Limited,EQ,26-JUN-2013,5,1,INE951D01028,5
187,AUBANK,AU Small Finance Bank Limited,EQ,10-JUL-2017,10,1,INE949L01017,10
188,AURIONPRO,Aurionpro Solutions Limited,EQ,25-OCT-2005,10,1,INE132H01018,10
189,AUROPHARMA,Aurobindo Pharma Limited,EQ,19-JUL-2000,1,1,INE406A01037,1
190,AURUM,Aurum PropTech Limited,EQ,19-AUG-2015,5,1,INE898S01029,5
191,AUSOMENT,Ausom Enterprise Limited,BE,17-APR-1996,10,1,INE218C01016,10
192,AUTOAXLES,Automotive Axles Limited,EQ,29-MAY-2003,10,1,INE449A01011,10
193,AUTOIND,Autoline Industries Limited,EQ,31-JAN-2007,10,1,INE718H01014,10
194,AVADHSUGAR,Avadh Sugar & Energy Limited,EQ,28-JUL-2017,10,1,INE349W01017,10
195,AVALON,Avalon Technologies Limited,EQ,18-APR-2023,2,1,INE0LCL01028,2
196,AVANTEL,Avantel Limited,EQ,31-JUL-2024,2,1,INE005B01027,2
197,AVANTIFEED,Avanti Feeds Limited,EQ,15-APR-2015,1,1,INE871C01038,1
198,AVG,AVG Logistics Limited,BE,12-MAY-2023,10,1,INE680Z01018,10
199,AVL,Aditya Vision Limited,EQ,06-NOV-2024,1,1,INE679V01027,1
200,AVONMORE,Avonmore Capital & Management Services Limited,BE,04-JAN-2023,1,1,INE323B01024,1
201,AVROIND,AVRO INDIA LIMITED,BE,07-APR-2022,10,1,INE652Z01017,10
202,AVTNPL,AVT Natural Products Limited,EQ,10-JAN-2007,1,1,INE488D01021,1
203,AWFIS,Awfis Space Solutions Limited,EQ,30-MAY-2024,10,1,INE108V01019,10
204,AWHCL,Antony Waste Handling Cell Limited,EQ,01-JAN-2021,5,1,INE01BK01022,5
205,AWL,Adani Wilmar Limited,EQ,08-FEB-2022,1,1,INE699H01024,1
206,AXISBANK,Axis Bank Limited,EQ,16-NOV-1998,2,1,INE238A01034,2
207,AXISCADES,AXISCADES Technologies Limited,BE,21-DEC-2000,5,1,INE555B01013,5
208,AXITA,Axita Cotton Limited,EQ,21-JUN-2022,1,1,INE02EZ01022,1
209,AYMSYNTEX,AYM Syntex Limited,EQ,14-AUG-2015,10,1,INE193B01039,10
210,AZAD,Azad Engineering Limited,EQ,28-DEC-2023,2,1,INE02IJ01035,2
211,BAFNAPH,Bafna Pharmaceuticals Limited,BE,27-FEB-2020,10,1,INE878I01022,10
212,BAGFILMS,B.A.G Films and Media Limited,BE,17-OCT-2003,2,1,INE116D01028,2
213,BAIDFIN,Baid Finserv Limited,EQ,20-JAN-2023,2,1,INE020D01022,2
214,BAJAJ-AUTO,Bajaj Auto Limited,EQ,26-MAY-2008,10,1,INE917I01010,10
215,BAJAJCON,Bajaj Consumer Care Limited,EQ,18-AUG-2010,1,1,INE933K01021,1
216,BAJAJELEC,Bajaj Electricals Limited,EQ,02-NOV-2007,2,1,INE193E01025,2
217,BAJAJFINSV,Bajaj Finserv Limited,EQ,26-MAY-2008,1,1,INE918I01026,1
218,BAJAJHCARE,Bajaj Healthcare Limited,EQ,25-NOV-2021,5,1,INE411U01027,5
219,BAJAJHFL,Bajaj Housing Finance Limited,EQ,16-SEP-2024,10,1,INE377Y01014,10
220,BAJAJHIND,Bajaj Hindusthan Sugar Limited,EQ,10-MAY-1995,1,1,INE306A01021,1
221,BAJAJHLDNG,Bajaj Holdings & Investment Limited,EQ,15-MAR-1995,10,1,INE118A01012,10
222,BAJEL,Bajel Projects Limited,EQ,19-DEC-2023,2,1,INE0KQN01018,2
223,BAJFINANCE,Bajaj Finance Limited,EQ,01-APR-2003,2,1,INE296A01024,2
224,BALAJEE,Shree Tirupati Balajee Agro Trading Company Limited,EQ,12-SEP-2024,10,1,INE0S2G01011,10
225,BALAJITELE,Balaji Telefilms Limited,BE,22-NOV-2000,2,1,INE794B01026,2
226,BALAMINES,Balaji Amines Limited,EQ,05-APR-2007,2,1,INE050E01027,2
227,BALAXI,BALAXI PHARMACEUTICALS LIMITED,EQ,30-NOV-2015,2,1,INE618N01022,2
228,BALKRISHNA,Balkrishna Paper Mills Limited,EQ,28-JUL-2015,10,1,INE875R01011,10
229,BALKRISIND,Balkrishna Industries Limited,EQ,27-JAN-2006,2,1,INE787D01026,2
230,BALMLAWRIE,Balmer Lawrie & Company Limited,EQ,06-JUL-1995,10,1,INE164A01016,10
231,BALPHARMA,Bal Pharma Limited,EQ,08-MAY-2006,10,1,INE083D01012,10
232,BALRAMCHIN,Balrampur Chini Mills Limited,EQ,08-FEB-1995,1,1,INE119A01028,1
233,BALUFORGE,Balu Forge Industries Limited,EQ,29-APR-2024,10,1,INE011E01029,10
234,BANARBEADS,Banaras Beads Limited,BE,07-JUL-1995,10,1,INE655B01011,10
235,BANARISUG,Bannari Amman Sugars Limited,EQ,28-MAY-2003,10,1,INE459A01010,10
236,BANCOINDIA,Banco Products (I) Limited,EQ,22-DEC-2006,2,1,INE213C01025,2
237,BANDHANBNK,Bandhan Bank Limited,EQ,27-MAR-2018,10,1,INE545U01014,10
238,BANG,Bang Overseas Limited,BE,20-FEB-2008,10,1,INE863I01016,10
239,BANKA,Banka BioLoo Limited,EQ,29-OCT-2020,10,1,INE862Y01015,10
240,BANKBARODA,Bank of Baroda,EQ,19-FEB-1997,2,1,INE028A01039,2
241,BANKINDIA,Bank of India,EQ,30-APR-1997,10,1,INE084A01016,10
242,BANSALWIRE,Bansal Wire Industries Limited,EQ,10-JUL-2024,5,1,INE0B9K01025,5
243,BANSWRAS,Banswara Syntex Limited,EQ,11-APR-2007,5,1,INE629D01020,5
244,BARBEQUE,Barbeque Nation Hospitality Limited,EQ,07-APR-2021,5,1,INE382M01027,5
245,BASF,BASF India Limited,EQ,17-MAY-1995,10,1,INE373A01013,10
246,BASML,Bannari Amman Spinning Mills Limited,EQ,14-NOV-2005,5,1,INE186H01022,5
247,BATAINDIA,Bata India Limited,EQ,18-JUN-2003,5,1,INE176A01028,5
248,BAYERCROP,Bayer Cropscience Limited,EQ,08-JAN-2010,10,1,INE462A01022,10
249,BBL,Bharat Bijlee Limited,EQ,21-NOV-2006,5,1,INE464A01036,5
250,BBOX,Black Box Limited,EQ,22-JUL-2003,2,1,INE676A01027,2
251,BBTC,Bombay Burmah Trading Corporation Limited,EQ,03-APR-1996,2,1,INE050A01025,2
252,BBTCL,B&B Triplewall Containers Limited,EQ,23-NOV-2022,10,1,INE01EE01011,10
253,BCLIND,Bcl Industries Limited,EQ,04-MAR-2021,1,1,INE412G01024,1
254,BCONCEPTS,Brand Concepts Limited,EQ,11-JAN-2022,10,1,INE977Y01011,10
255,BDL,Bharat Dynamics Limited,EQ,23-MAR-2018,5,1,INE171Z01026,5
256,BEARDSELL,Beardsell Limited,EQ,13-JAN-2015,2,1,INE520H01022,2
257,BECTORFOOD,Mrs. Bectors Food Specialities Limited,EQ,24-DEC-2020,10,1,INE495P01012,10
258,BEDMUTHA,Bedmutha Industries Limited,EQ,14-OCT-2010,10,1,INE844K01012,10
259,BEL,Bharat Electronics Limited,EQ,19-JUL-2000,1,1,INE263A01024,1
260,BEML,BEML Limited,EQ,05-NOV-2003,10,1,INE258A01016,10
261,BEPL,Bhansali Engineering Polymers Limited,EQ,21-MAR-2005,1,1,INE922A01025,1
262,BERGEPAINT,Berger Paints (I) Limited,EQ,24-NOV-1999,1,1,INE463A01038,1
263,BESTAGRO,Best Agrolife Limited,EQ,10-APR-2024,10,1,INE052T01013,10
264,BFINVEST,BF Investment Limited,EQ,14-JAN-2011,5,1,INE878K01010,5
265,BFUTILITIE,BF Utilities Limited,EQ,03-MAY-2007,5,1,INE243D01012,5
266,BGLOBAL,Bharatiya Global Infomedia Limited,BZ,28-JUL-2011,10,1,INE224M01013,10
267,BGRENERGY,BGR Energy Systems Limited,BE,03-JAN-2008,10,1,INE661I01014,10
268,BHAGCHEM,Bhagiradha Chemicals & Industries Limited,EQ,18-OCT-2021,1,1,INE414D01027,1
269,BHAGERIA,Bhageria Industries Limited,EQ,02-MAR-2016,5,1,INE354C01027,5
270,BHAGYANGR,Bhagyanagar India Limited,EQ,17-MAY-2017,2,1,INE458B01036,2
271,BHANDARI,Bhandari Hosiery Exports Limited,EQ,30-JAN-2017,1,1,INE474E01029,1
272,BHARATFORG,Bharat Forge Limited,EQ,04-APR-2003,2,1,INE465A01025,2
273,BHARATGEAR,Bharat Gears Limited,EQ,03-APR-1996,10,1,INE561C01019,10
274,BHARATRAS,Bharat Rasayan Limited,EQ,11-OCT-1995,10,1,INE838B01013,10
275,BHARATWIRE,Bharat Wire Ropes Limited,EQ,01-APR-2016,10,1,INE316L01019,10
276,BHARTIARTL,Bharti Airtel Limited,EQ,15-FEB-2002,5,1,INE397D01024,5
277,BHARTIHEXA,Bharti Hexacom Limited,EQ,12-APR-2024,5,1,INE343G01021,5
278,BHEL,Bharat Heavy Electricals Limited,EQ,11-NOV-2003,2,1,INE257A01026,2
279,BIGBLOC,Bigbloc Construction Limited,EQ,02-SEP-2016,2,1,INE412U01025,2
280,BIKAJI,Bikaji Foods International Limited,EQ,16-NOV-2022,1,1,INE00E101023,1
281,BIL,Bhartiya International Limited,BE,12-APR-2000,10,1,INE828A01016,10
282,BINANIIND,Binani Industries Limited,EQ,27-SEP-2006,10,1,INE071A01013,10
283,BIOCON,Biocon Limited,EQ,07-APR-2004,5,1,INE376G01013,5
284,BIOFILCHEM,Biofil Chemicals & Pharmaceuticals Limited,EQ,12-JUN-1996,10,1,INE829A01014,10
285,BIRLACABLE,Birla Cable Limited,EQ,06-DEC-1995,10,1,INE800A01015,10
286,BIRLACORPN,Birla Corporation Limited,EQ,12-APR-1995,10,1,INE340A01012,10
