"INDEX 
","CURRENT 
","%CHNG 
","OPEN 
","HIGH 
","LOW 
","INDICATIVE CLOSE 
","PREV. CLOSE 
","PREV. DAY 
 10-Feb-2025","1W AGO 
 05-Feb-2025","1M AGO 
 10-Jan-2025","1Y AGO 
 12-Feb-2024","52W H 
","52W L 
","365 D % CHNG 
 12-Feb-2024","30 D % CHNG 
 10-Jan-2025"
"NIFTY SMALLCAP 50","7,731.00","-0.20","7,735.70","7,777.80","7,486.15","-","7,746.20","8,027.20","8,249.50","8,386.95","7,274.15","9,505.50","6,515.65","6.49","-7.64"
"NIFTY SMALLCAP 250","15,050.60","-0.70","15,115.60","15,128.30","14,602.25","-","15,156.95","15,693.60","16,104.40","16,833.40","14,589.05","18,688.30","13,284.30","3.89","-9.96"
"NIFTY MIDSMALLCAP 400","17,443.75","-0.49","17,488.65","17,537.40","16,966.15","-","17,529.50","18,091.95","18,613.95","19,067.65","16,536.60","21,177.60","15,493.80","6.00","-8.07"
"NIFTY500 MULTICAP 50:25:25","14,427.60","-0.31","14,448.65","14,491.55","14,133.70","-","14,471.75","14,816.20","15,138.55","15,283.45","13,606.75","17,112.15","5,531.55","6.36","-5.31"
"NIFTY LARGEMIDCAP 250","14,513.55","-0.23","14,525.70","14,585.05","14,229.30","-","14,546.90","14,876.65","15,215.95","15,245.80","13,578.30","17,095.20","5,635.20","7.13","-4.58"
"NIFTY MIDCAP SELECT","11,395.20","-0.66","11,454.15","11,494.45","11,149.30","-","11,471.45","11,790.05","12,092.90","12,283.00","10,671.05","13,407.55","5,520.25","7.50","-6.61"
"NIFTY TOTAL MARKET","11,768.80","-0.19","11,776.05","11,820.80","11,556.75","-","11,791.45","12,035.90","12,274.15","12,299.80","11,063.90","13,842.60","6,252.10","6.58","-4.13"
"NIFTY MICROCAP 250","21,589.85","0.11","21,508.85","21,664.40","20,791.95","-","21,565.85","22,380.30","23,099.45","23,983.30","19,651.60","26,476.90","5,802.95","9.74","-10.08"
"NIFTY500 LARGEMIDSMALL EQUAL-CAP WEIGHTED","15,801.45","-0.38","15,832.05","15,875.30","15,441.35","-","15,861.60","16,285.20","16,674.15","16,938.25","14,945.05","18,838.10","14,014.40","6.13","-6.36"
"NIFTY BANK","49,479.45","0.15","49,402.25","49,702.35","48,734.35","-","49,403.40","49,981.00","50,343.05","48,734.15","44,882.25","54,467.35","45,661.75","10.07","1.37"
"NIFTY AUTO","22,407.45","-0.74","22,544.20","22,573.15","22,099.05","-","22,573.90","23,112.65","23,517.10","23,017.75","19,419.60","27,696.10","20,066.80","16.24","-1.93"
"NIFTY FINANCIAL SERVICES","23,192.80","0.45","23,068.25","23,310.10","22,819.90","-","23,089.60","23,400.35","23,664.40","22,730.20","19,918.50","25,201.95","20,234.75","15.92","1.58"
"NIFTY FINANCIAL SERVICES 25/50","24,727.10","0.65","24,572.25","24,881.80","24,226.85","-","24,567.95","25,025.20","25,397.65","24,436.60","21,674.30","-","-","13.35","0.54"
"NIFTY FMCG","53,739.00","-0.10","53,741.80","53,962.20","53,114.10","-","53,794.25","54,856.65","56,383.75","57,117.70","53,292.95","66,438.70","52,398.75","0.94","-5.82"
"NIFTY IT","41,733.00","-0.56","42,039.50","42,263.05","41,591.20","-","41,968.30","42,596.55","42,888.30","44,609.50","37,998.00","46,088.90","31,320.15","10.45","-5.92"
"NIFTY MEDIA","1,537.05","-0.06","1,544.05","1,550.70","1,491.45","-","1,537.95","1,583.10","1,650.75","1,743.65","2,094.05","2,264.85","1,491.45","-26.56","-11.80"
"NIFTY METAL","8,268.40","0.67","8,205.70","8,316.75","8,060.45","-","8,213.55","8,359.25","8,427.10","8,262.95","7,901.65","10,322.05","7,578.35","3.95","-0.60"
"NIFTY PHARMA","21,142.05","-0.51","21,287.95","21,306.50","20,931.15","-","21,249.50","21,665.65","21,868.50","22,380.85","18,669.55","23,907.90","17,904.75","13.82","-5.05"
"NIFTY PSU BANK","6,052.35","0.84","6,021.20","6,089.80","5,858.75","-","6,001.70","6,133.65","6,329.35","6,085.10","6,637.05","8,053.30","5,858.75","-9.57","-1.37"
"NIFTY PRIVATE BANK","24,628.55","0.24","24,543.35","24,720.95","24,228.75","-","24,568.40","24,870.90","24,831.35","23,931.15","22,532.70","27,280.60","22,849.00","9.03","2.66"
"NIFTY REALTY","839.35","-2.74","862.45","862.65","835.35","-","863.00","890.30","937.30","963.30","849.95","1,157.35","808.45","1.54","-10.41"
"NIFTY HEALTHCARE INDEX","13,488.45","-0.54","13,560.75","13,591.30","13,368.65","-","13,562.05","13,908.70","14,157.95","14,397.80","11,962.85","15,108.80","6,482.80","13.37","-5.80"
"NIFTY CONSUMER DURABLES","36,539.40","-0.48","36,632.60","36,927.70","35,669.35","-","36,715.10","37,565.65","38,816.60","40,585.10","30,756.20","44,426.55","14,089.55","19.37","-9.54"
"NIFTY OIL & GAS","10,036.35","-0.80","10,067.35","10,092.50","9,837.15","-","10,117.75","10,317.00","10,634.85","10,740.60","11,239.05","13,607.20","4,632.70","-9.98","-5.80"
"NIFTY MIDSMALL HEALTHCARE","38,928.85","-1.14","39,241.70","39,334.95","38,261.30","-","39,376.00","40,711.45","41,888.85","42,746.55","-","45,285.50","20,019.15","-","-7.88"
"NIFTY FINANCIAL SERVICES EX-BANK","24,727.40","0.94","24,472.40","24,897.75","23,921.25","-","24,498.05","25,294.50","25,901.70","24,717.20","22,037.01","28,262.35","21,702.40","11.17","-0.89"
"NIFTY MIDSMALL FINANCIAL SERVICES","14,603.40","0.78","14,474.25","14,731.90","14,068.00","-","14,490.45","15,056.55","15,489.35","15,006.40","13,180.91","16,743.90","12,407.95","9.94","-3.44"
"NIFTY MIDSMALL IT & TELECOM","9,811.50","-1.52","9,929.15","9,947.90","9,660.15","-","9,963.20","10,279.45","10,503.20","10,659.90","10,137.27","11,723.20","8,812.70","-1.72","-6.54"
"NIFTY DIVIDEND OPPORTUNITIES 50","5,847.15","-0.17","5,858.30","5,874.60","5,769.50","-","5,857.05","5,980.70","6,126.80","6,179.45","5,685.20","7,012.65","5,490.10","3.02","-5.22"
"NIFTY GROWTH SECTORS 15","11,464.80","-0.66","11,540.05","11,562.45","11,430.80","-","11,541.25","11,713.70","11,903.35","12,116.20","11,044.90","13,065.05","10,168.35","4.49","-4.75"
"NIFTY100 QUALITY 30","5,331.80","-0.28","5,350.05","5,357.45","5,275.20","-","5,346.80","5,445.55","5,525.80","5,560.15","5,008.85","-","-","6.75","-3.84"
"NIFTY50 VALUE 20","12,760.60","-0.41","12,822.75","12,857.55","12,684.30","-","12,813.25","12,970.85","13,217.65","13,401.55","12,112.20","14,731.65","11,543.45","5.79","-4.39"
"NIFTY50 TR 2X LEVERAGE","17,816.35","-0.13","17,824.90","17,969.80","17,436.10","-","17,839.60","18,328.55","18,825.15","18,468.35","16,637.20","23,715.35","15,754.10","7.23","-3.40"
"NIFTY50 PR 2X LEVERAGE","12,147.50","-0.25","12,153.40","12,252.30","11,887.95","-","12,177.65","12,511.40","12,862.70","12,651.45","11,639.65","16,297.55","10,914.70","4.62","-3.75"
"NIFTY50 TR 1X INVERSE","180.50","0.06","180.45","182.45","179.75","-","180.40","178.00","175.55","177.20","186.15","189.85","156.10","-3.09","1.81"
"NIFTY50 PR 1X INVERSE","218.45","0.14","218.40","220.75","217.50","-","218.15","215.25","212.20","213.90","222.30","227.85","188.15","-1.87","1.99"
"NIFTY50 DIVIDEND POINTS","287.71","4.92","287.71","287.71","287.71","-","274.23","274.23","262.97","233.03","208.61","-","-","31.46","17.68"
"NIFTY ALPHA 50","46,183.75","0.07","46,069.50","46,456.60","44,404.25","-","46,149.15","47,770.95","49,603.10","52,170.65","45,018.45","-","-","2.51","-11.54"
"NIFTY50 EQUAL WEIGHT","28,745.25","0.08","28,737.15","28,903.75","28,342.40","-","28,723.30","29,201.80","29,591.10","29,181.50","27,328.75","-","-","5.10","-1.57"
"NIFTY100 EQUAL WEIGHT","29,525.25","0.09","29,511.65","29,674.45","28,919.75","-","29,499.70","30,081.90","30,674.90","30,460.40","27,864.60","-","-","5.87","-3.15"
"NIFTY100 LOW VOLATILITY 30","18,837.95","0.16","18,828.85","18,924.75","18,642.80","-","18,808.65","19,117.25","19,274.80","19,282.55","17,643.25","-","-","6.61","-2.46"
"NIFTY200 QUALITY 30","19,472.15","-0.33","19,546.70","19,569.45","19,199.20","-","19,535.65","19,930.50","20,329.10","20,687.95","18,492.70","-","-","5.64","-5.57"
"NIFTY ALPHA LOW-VOLATILITY 30","25,440.85","-0.22","25,518.20","25,580.55","25,166.35","-","25,497.20","25,940.65","26,259.20","26,648.95","24,810.15","-","-","2.77","-4.32"
"NIFTY200 MOMENTUM 30","28,825.90","-0.29","28,882.75","29,040.15","28,337.15","-","28,908.70","29,608.65","30,229.70","31,277.35","29,121.00","-","-","-0.73","-7.57"
"NIFTY MIDCAP150 QUALITY 50","21,691.90","-0.71","21,821.15","21,840.55","21,258.50","-","21,846.25","22,434.80","23,034.75","23,667.00","20,547.95","-","-","6.32","-7.69"
"NIFTY200 ALPHA 30","22,329.75","-0.27","22,353.90","22,513.50","21,728.15","-","22,389.65","23,025.25","23,742.95","24,671.80","22,083.60","-","-","1.39","-9.25"
"NIFTY MIDCAP150 MOMENTUM 50","54,423.35","-0.40","54,418.20","54,888.10","53,058.05","-","54,642.45","56,546.55","58,459.90","60,692.25","51,353.70","-","-","6.40","-9.97"
"NIFTY500 MOMENTUM 50","48,387.00","-0.33","48,397.45","48,778.35","47,258.95","-","48,545.05","50,036.00","51,430.90","53,819.65","-","-","-","-","-9.80"
"NIFTY MIDSMALLCAP400 MOMENTUM QUALITY 100","44,032.20","-0.23","44,038.45","44,311.55","42,845.10","-","44,134.85","45,608.20","46,816.50","48,831.85","42,629.23","-","-","3.53","-9.62"
"NIFTY SMALLCAP250 MOMENTUM QUALITY 100","42,011.45","-0.37","42,066.85","42,208.40","40,658.90","-","42,167.05","43,656.25","44,771.00","47,190.50","43,153.23","-","-","-2.29","-10.65"
"NIFTY TOP 10 EQUAL WEIGHT","9,121.25","-0.03","9,112.70","9,145.80","9,039.10","-","9,124.20","9,236.50","9,301.75","9,257.85","-","-","-","-","-1.44"
"NIFTY ALPHA QUALITY LOW-VOLATILITY 30","21,053.35","-0.33","21,134.60","21,159.20","20,793.30","-","21,122.15","21,481.95","21,842.35","22,433.00","20,025.93","-","-","5.47","-5.84"
"NIFTY ALPHA QUALITY VALUE LOW-VOLATILITY 30","19,141.95","-0.34","19,221.75","19,252.15","18,942.45","-","19,207.70","19,585.25","19,850.20","20,160.75","17,992.01","-","-","6.76","-4.73"
"NIFTY HIGH BETA 50","3,210.70","-0.25","3,220.25","3,239.85","3,107.90","-","3,218.75","3,312.80","3,430.20","3,321.75","3,581.13","-","-","-10.12","-3.10"
"NIFTY LOW VOLATILITY 50","23,316.80","0.29","23,253.75","23,423.35","22,976.75","-","23,249.35","23,621.30","23,947.65","23,766.20","21,473.44","-","-","8.27","-2.17"
"NIFTY QUALITY LOW-VOLATILITY 30","16,380.90","-0.16","16,419.10","16,449.65","16,233.60","-","16,406.55","16,682.50","16,920.80","17,010.35","15,799.35","-","-","3.84","-3.55"
"NIFTY SMALLCAP250 QUALITY 50","24,473.45","-0.30","24,472.20","24,621.45","23,749.10","-","24,546.00","25,276.35","25,976.55","27,539.00","23,434.78","-","-","4.74","-10.87"
"NIFTY TOP 15 EQUAL WEIGHT","9,649.40","-0.20","9,655.80","9,687.70","9,553.60","-","9,668.30","9,793.15","9,910.15","9,656.70","8,693.05","-","-","11.22","0.12"
"NIFTY100 ALPHA 30","16,403.15","-0.33","16,442.45","16,496.00","16,072.50","-","16,458.10","16,815.60","17,204.80","17,529.70","15,936.31","-","-","3.27","-6.11"
"NIFTY200 VALUE 30","11,377.00","0.24","11,353.85","11,444.25","11,073.85","-","11,349.35","11,635.05","11,947.45","11,804.70","11,286.55","-","-","0.56","-3.86"
"NIFTY500 EQUAL WEIGHT","12,559.85","-0.58","12,612.80","12,622.25","12,233.25","-","12,632.95","13,012.30","13,340.75","13,650.45","12,061.67","-","-","4.74","-7.45"
"NIFTY500 MULTICAP MOMENTUM QUALITY 50","38,361.35","-0.24","38,365.35","38,612.85","37,523.65","-","38,453.25","39,403.40","40,647.45","43,259.95","39,108.43","-","-","-1.68","-11.11"
"NIFTY500 VALUE 50","12,510.00","0.27","12,481.90","12,577.75","12,184.30","-","12,476.50","12,784.70","13,124.70","12,978.25","12,355.49","-","-","0.98","-3.87"
"NIFTY TOP 20 EQUAL WEIGHT","8,675.55","-0.20","8,688.15","8,712.85","8,590.60","-","8,693.30","8,811.45","8,926.75","8,862.45","7,871.16","-","-","10.44","-1.91"
"NIFTY COMMODITIES","7,816.25","0.10","7,796.00","7,849.55","7,632.50","-","7,808.20","7,937.85","8,100.10","7,873.05","8,068.15","9,896.35","7,597.05","-3.22","-0.82"
"NIFTY INDIA CONSUMPTION","10,805.25","-0.49","10,842.85","10,872.45","10,672.05","-","10,858.70","11,079.35","11,341.35","11,254.25","9,603.15","13,057.60","9,690.80","13.07","-3.51"
"NIFTY CPSE","5,526.70","-0.70","5,561.55","5,579.50","5,415.00","-","5,565.60","5,695.30","5,988.85","5,914.00","5,453.50","7,661.90","5,295.45","2.06","-5.89"
"NIFTY ENERGY","31,317.30","-0.38","31,369.45","31,411.90","30,485.80","-","31,436.75","32,109.90","33,345.45","33,743.00","38,097.10","45,022.15","30,485.80","-17.48","-6.83"
"NIFTY INFRASTRUCTURE","8,019.65","-0.13","8,016.30","8,045.45","7,864.20","-","8,029.85","8,169.85","8,317.25","8,259.95","7,877.00","9,704.20","7,864.20","1.94","-2.79"
"NIFTY100 LIQUID 15","6,250.40","0.17","6,232.25","6,276.80","6,139.70","-","6,239.80","6,336.05","6,413.05","6,141.05","6,104.90","7,205.25","6,011.05","2.21","1.61"
"NIFTY MIDCAP LIQUID 15","12,821.90","-0.26","12,855.75","12,912.30","12,474.20","-","12,855.60","13,219.45","13,543.15","13,576.35","11,162.20","14,941.65","10,349.60","15.17","-5.31"
"NIFTY MNC","26,290.50","-0.03","26,325.55","26,363.25","25,782.15","-","26,298.05","26,755.50","27,210.30","27,667.70","24,214.55","32,841.15","24,338.95","8.60","-4.95"
"NIFTY PSE","8,458.75","-0.50","8,497.85","8,520.10","8,245.10","-","8,500.90","8,733.75","9,078.45","9,109.85","8,820.90","11,814.60","8,245.10","-3.63","-6.68"
"NIFTY SERVICES SECTOR","30,524.55","0.06","30,496.45","30,652.15","30,192.75","-","30,506.65","30,900.95","31,208.35","30,811.15","27,214.60","33,791.15","26,535.15","12.10","-0.99"
"NIFTY100 ESG SECTOR LEADERS","3,809.00","-","3,806.10","3,826.25","3,757.10","-","3,809.05","3,867.60","3,920.35","3,879.15","3,562.95","-","-","6.91","-1.81"
"NIFTY INDIA DIGITAL","8,859.90","-0.07","8,865.35","8,910.60","8,710.40","-","8,866.05","9,097.80","9,227.10","9,449.75","7,616.60","10,152.15","4,755.25","16.40","-6.18"
"NIFTY100 ESG","4,525.75","0.16","4,519.30","4,546.90","4,452.40","-","4,518.70","4,598.00","4,663.75","4,625.20","4,243.35","-","-","6.49","-2.30"
"NIFTY INDIA MANUFACTURING","12,844.30","-0.39","12,876.30","12,912.75","12,596.30","-","12,894.90","13,179.90","13,426.95","13,453.20","11,377.55","-","-","13.34","-4.15"
"NIFTY INDIA CORPORATE GROUP INDEX - TATA GROUP 25% CAP","14,998.40","0.11","14,989.05","15,102.20","14,832.45","-","14,982.50","15,291.05","15,767.00","16,270.60","-","18,764.95","9,887.45","-","-7.92"
"NIFTY500 MULTICAP INDIA MANUFACTURING 50:30:20","13,631.90","-0.45","13,661.10","13,705.70","13,372.60","-","13,693.80","14,024.85","14,275.25","14,336.35","-","16,253.65","8,394.35","-","-4.48"
"NIFTY500 MULTICAP INFRASTRUCTURE 50:30:20","12,383.20","-0.34","12,398.90","12,424.85","12,105.15","-","12,424.85","12,712.25","13,038.75","13,145.55","-","15,154.10","8,010.10","-","-5.48"
"NIFTY INDIA DEFENCE","5,618.65","-1.19","5,675.60","5,675.60","5,417.45","-","5,686.55","5,892.85","6,082.55","6,254.25","4,124.30","8,302.05","3,374.95","37.88","-9.08"
"NIFTY INDIA TOURISM","8,127.25","-1.05","8,211.05","8,221.00","7,959.70","-","8,213.65","8,448.85","8,756.90","8,728.90","-","9,315.80","6,058.05","-","-5.90"
"NIFTY CAPITAL MARKETS","3,352.25","1.15","3,310.80","3,389.65","3,206.05","-","3,314.15","3,492.90","3,640.10","3,708.75","-","4,265.80","2,009.60","-","-10.64"
"NIFTY EV & NEW AGE AUTOMOTIVE","2,765.40","-0.78","2,780.35","2,784.90","2,714.50","-","2,787.25","2,869.45","2,914.00","2,911.80","2,534.98","-","-","9.95","-4.28"
"NIFTY INDIA NEW AGE CONSUMPTION","10,577.60","-0.53","10,621.85","10,660.65","10,381.95","-","10,633.80","10,909.55","11,246.45","11,360.85","8,953.95","-","-","18.76","-6.40"
"NIFTY INDIA SELECT 5 CORPORATE GROUPS (MAATR)","33,636.40","-0.70","33,798.60","33,873.25","33,093.70","-","33,874.25","34,370.60","34,985.45","34,529.35","33,770.26","-","-","0.31","-1.90"
"NIFTY MOBILITY","18,432.35","-0.43","18,480.25","18,534.30","18,064.85","-","18,512.75","18,978.45","19,316.65","19,143.00","16,996.13","-","-","8.92","-3.29"
"NIFTY100 ENHANCED ESG","4,561.80","0.16","4,555.20","4,583.05","4,487.85","-","4,554.45","4,634.25","4,699.75","4,660.30","4,274.44","-","-","6.55","-2.27"
"NIFTY CORE HOUSING","14,712.90","-0.42","14,763.50","14,823.40","14,370.85","-","14,775.05","15,085.90","15,428.40","15,536.05","14,082.24","17,961.70","13,704.80","4.92","-4.90"
"NIFTY HOUSING","10,250.30","0.25","10,222.15","10,298.85","10,033.75","-","10,225.15","10,402.10","10,582.90","10,459.10","9,999.96","12,386.30","9,853.00","2.25","-2.24"
"NIFTY IPO","1,890.05","-0.17","1,892.10","1,898.90","1,835.20","-","1,893.25","1,957.20","2,025.45","2,110.15","1,909.36","2,387.55","1,742.35","-0.84","-10.28"
"NIFTY MIDSMALL INDIA CONSUMPTION","17,735.85","-0.59","17,798.40","17,856.55","17,383.35","-","17,841.75","18,366.75","19,065.80","19,699.35","15,483.53","21,008.10","14,493.40","15.23","-9.43"
"NIFTY NON-CYCLICAL CONSUMER","14,868.20","0.03","14,859.20","14,936.95","14,617.30","-","14,863.95","15,141.70","15,534.45","15,804.80","13,397.65","18,289.65","13,081.55","10.94","-5.95"
"NIFTY RURAL","13,666.25","-0.03","13,659.70","13,728.55","13,410.30","-","13,670.85","13,912.10","14,164.90","13,859.15","12,731.56","16,370.10","12,304.35","7.38","-1.36"
"NIFTY SHARIAH 25","8,026.20","-0.04","8,040.20","8,069.65","7,942.30","-","8,029.45","8,197.40","8,298.35","8,531.15","7,821.63","9,449.55","7,267.55","2.66","-5.88"
"NIFTY TRANSPORTATION & LOGISTICS","20,828.05","-0.66","20,916.85","20,978.20","20,446.10","-","20,966.05","21,514.95","21,892.70","21,740.25","18,824.14","26,170.50","16,828.35","11.38","-3.56"
"NIFTY50 SHARIAH","4,758.65","0.16","4,763.55","4,780.35","4,726.75","-","4,751.25","4,829.65","4,900.90","5,073.35","4,822.83","5,677.90","4,444.95","-1.48","-6.35"
"NIFTY500 SHARIAH","6,744.15","-0.23","6,758.40","6,773.70","6,630.40","-","6,759.65","6,911.20","7,058.40","7,325.05","6,585.90","8,238.85","6,154.60","2.64","-7.72"
"NIFTY 8-13 YR G-SEC","2,797.87","0.01","2,797.98","2,798.73","2,797.29","-","2,797.46","2,794.43","2,799.62","2,770.38","2,555.71","-","-","9.47","0.99"
"NIFTY 10 YR BENCHMARK G-SEC","2,475.58","0.01","2,475.52","2,476.30","2,474.74","-","2,475.06","2,472.63","2,478.29","2,449.42","2,263.09","-","-","9.39","1.07"
"NIFTY 10 YR BENCHMARK G-SEC (CLEAN PRICE)","893.91","-","893.88","894.17","893.60","-","893.88","893.15","896.08","889.60","874.99","-","-","2.18","0.50"
"NIFTY 4-8 YR G-SEC INDEX","3,018.13","-","3,018.51","3,018.51","3,017.79","-","3,017.93","3,017.05","3,019.89","2,990.67","2,770.64","-","-","8.93","0.92"
"NIFTY 11-15 YR G-SEC INDEX","3,089.50","0.04","3,088.81","3,090.56","3,088.80","-","3,088.22","3,085.93","3,095.12","3,064.86","2,821.42","-","-","9.46","0.77"
"NIFTY 15 YR AND ABOVE G-SEC INDEX","3,398.52","0.06","3,396.94","3,401.02","3,396.38","-","3,396.29","3,397.91","3,399.73","3,382.63","3,123.04","-","-","8.86","0.50"
"NIFTY COMPOSITE G-SEC INDEX","2,891.39","0.02","2,891.28","2,892.11","2,890.87","-","2,890.74","2,888.56","2,893.96","2,865.82","2,646.05","-","-","9.26","0.88"
"NIFTY BHARAT BOND INDEX - APRIL 2025","1,300.49","0.01","1,300.43","1,300.49","1,300.42","-","1,300.23","1,299.92","1,298.55","1,291.69","-","-","-","-","0.66"
"NIFTY BHARAT BOND INDEX - APRIL 2030","1,462.44","-0.09","1,464.12","1,464.12","1,462.44","-","1,463.83","1,464.42","1,462.82","1,451.42","-","-","-","-","0.86"
"NIFTY BHARAT BOND INDEX - APRIL 2031","1,335.87","-0.05","1,336.89","1,336.90","1,335.87","-","1,336.64","1,336.94","1,335.41","1,324.22","-","-","-","-","0.94"
"NIFTY BHARAT BOND INDEX - APRIL 2032","1,220.44","0.01","1,220.45","1,220.45","1,220.44","-","1,220.21","1,221.96","1,220.68","1,210.08","-","-","-","-","0.85"
"NIFTY BHARAT BOND INDEX - APRIL 2033","1,187.16","0.01","1,187.16","1,187.16","1,187.16","-","1,186.93","1,188.82","1,188.00","1,180.54","-","-","-","-","0.56"
